center,scale,rho,cw,sw,avg_pos,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤
0.3,55.0,0.3,0.15,0.2,0.22118732738957628,-1.394915318205903,0.13501642069561326,0.019282372986170415,0.07130284422606097,-0.18484939145060886,0.10431396519540397,0.22118732738957628,66.08864977333846,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,35.0,0.2,0.2,0.3,0.30118123027750243,-1.399002411228635,0.23748312735341326,0.03265498206389905,0.09443325947728945,-0.24391370084079478,0.1338792447957375,0.30118123027750243,65.48502714360683,0.9981470043236566,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.3,0.15,0.1,0.2476891990189857,-1.4025990114806046,0.13504536562759206,0.019286292854769904,0.07754593043868659,-0.2086807835351433,0.09242007111556565,0.2476891990189857,65.87724562839014,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,55.0,0.3,0.1,0.1,0.28363553468943403,-1.4088586409539636,0.13133359416244939,0.018782932138763586,0.08689873865620022,-0.23839240697353392,0.07878997648129309,0.28363553468943403,65.422268480298,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.3,0.15,0.1,0.21322879283698365,-1.4090004193758563,0.1534476809344807,0.02176141413196553,0.07054270456152098,-0.17216296053430946,0.12640009247301953,0.21322879283698365,67.23401766203335,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.3,0.2,0.2,0.22489383833666557,-1.4092811950103552,0.13941560055332847,0.019877160440555208,0.07263683813713108,-0.18661230392090278,0.10651580856630072,0.22489383833666557,66.79261017452295,0.9993823347745522,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.3,0.2,0.1,0.25180756681526417,-1.4159224131615074,0.13947220668279003,0.01988480110827351,0.07896179011225213,-0.21071011386945826,0.09437041603324645,0.25180756681526417,66.5226078667526,0.9962940086473132,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.3,0.1,0.3,0.22906311762685547,-1.4181492454263231,0.1441695996693111,0.02051773255212619,0.07379151147951249,-0.19036283022233624,0.10778224156555295,0.22906311762685547,67.17427814336406,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.4,55.0,0.3,0.15,0.1,0.28838321258881877,-1.4208253818305838,0.13560011386249982,0.019361403258273846,0.08847394783424736,-0.24054782528183227,0.08048878943548755,0.28838321258881877,65.99564362239708,0.9975293390982087,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,45.0,0.3,0.2,0.1,0.2168346545237903,-1.4243416722228521,0.15794215037729176,0.02236082407217621,0.07188741145902387,-0.17394122681579982,0.12855390571584197,0.2168346545237903,67.98659414435642,0.9993823347745522,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.35,55.0,0.3,0.1,0.2,0.2572688062210984,-1.4245694607988855,0.14302525284973333,0.02036374570362387,0.0805031706529898,-0.2160306799336208,0.09426321164142513,0.2572688062210984,66.84589332678495,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
0.3,55.0,0.3,0.15,0.3,0.23295337031458932,-1.4328323055976095,0.1489803348880845,0.021163652807262734,0.07518763860212074,-0.19215709185000185,0.11013724553961879,0.23295337031458932,67.89587062399357,0.9987646695491044,0.546852429532334,0.06799580633944835,-0.6265673853758704
